x1,x2,x3,x4,x5,x6,x7
2.0,1.0,0.32481137280248873,1.0,1.0,0.0,0.0
3.0,1.0,0.4831162912624584,2.0,1.0,0.0008340283569641367,8.467607367150476e-17
6.0,1.0,0.5387149309018311,3.0,1.0,0.0016680567139282735,5.410225297753111e-15
3.0,2.0,0.27051414009942276,4.0,1.0,0.0025020850708924102,6.152292337893335e-14
7.0,1.0,0.30323103147389174,5.0,1.0,0.003336113427856547,3.450983116191537e-13
1.0,1.0,0.2193330462911007,6.0,1.0,0.004170141784820684,1.3142432513595288e-12
0.0,1.0,0.02011637573286841,7.0,1.0,0.0050041701417848205,3.9177386908935705e-12
7.0,2.0,0.938830576006624,8.0,1.0,0.005838198498748957,9.862518409658841e-12
3.0,3.0,0.4790219454431068,9.0,1.0,0.006672226855713094,2.193868138336958e-11
8.0,1.0,0.8966076321443361,10.0,1.0,0.007506255212677231,4.4401337792604004e-11
8.0,2.0,0.992800374950072,11.0,1.0,0.008340283569641367,8.340859107621819e-11
8.0,3.0,0.705971156399724,12.0,1.0,0.009174311926605505,1.4751496080979933e-10
5.0,1.0,0.6734633067515561,13.0,1.0,0.010008340283569641,2.4821955356824603e-10
0.0,2.0,0.029917485402846514,14.0,1.0,0.010842368640533779,4.005682913103894e-10
2.0,2.0,0.14445771073446884,15.0,1.0,0.011676396997497914,6.238095092024344e-10
8.0,4.0,0.7955512065323629,16.0,1.0,0.012510425354462052,9.421022371758705e-10
3.0,4.0,0.3992041905457636,17.0,1.0,0.013344453711426188,1.3852764818943305e-9
1.0,2.0,0.11219211201952138,18.0,1.0,0.014178482068390326,1.989644828182698e-9
6.0,2.0,0.8103402410618743,19.0,1.0,0.015012510425354461,2.7988646813507675e-9
4.0,1.0,0.49332754810139823,20.0,1.0,0.0158465387823186,3.864850474222311e-9
1.0,3.0,0.4517074317137421,21.0,1.0,0.016680567139282735,5.248735165059681e-9
4.0,2.0,0.2789604486519683,22.0,1.0,0.01751459549624687,7.0218803549524964e-9
7.0,3.0,0.9825700966972396,23.0,1.0,0.01834862385321101,9.266934355618142e-9
2.0,3.0,0.19097896800459815,24.0,1.0,0.019182652210175146,1.2078937540940391e-8
2.0,4.0,0.6129314596893339,25.0,1.0,0.020016680567139282,1.556647431795191e-8
7.0,4.0,0.7680806967997145,26.0,1.0,0.020850708924103418,1.985287105534391e-8
5.0,2.0,0.4749096749967976,27.0,1.0,0.021684737281067557,2.5077439309967066e-8
0.0,3.0,0.07536663560500644,28.0,1.0,0.022518765638031693,3.1396763694164524e-8
2.0,5.0,0.4142085202453268,29.0,1.0,0.02335279399499583,3.898603372915887e-8
7.0,5.0,0.6581746164443909,30.0,1.0,0.02418682235195997,4.804041903209118e-8
3.0,5.0,0.5133249391418526,31.0,1.0,0.025020850708924104,5.877648718669168e-8
0.0,4.0,0.06840471357452517,32.0,1.0,0.02585487906588824,7.143366364993936e-8
4.0,3.0,0.45138478037989793,33.0,1.0,0.026688907422852376,8.627573304944692e-8
1.0,4.0,0.06375078312114513,34.0,1.0,0.027522935779816515,1.0359238122868205e-7
4.0,4.0,0.41102794389237124,35.0,1.0,0.02835696413678065,1.2370077739952756e-7
0.0,5.0,0.12005112864343523,36.0,1.0,0.029190992493744787,1.469471957640424e-7
4.0,5.0,0.5907721190812338,37.0,1.0,0.030025020850708923,1.7370867596968617e-7
7.0,6.0,0.92887120893194,38.0,1.0,0.030859049207673062,2.043947217646249e-7
4.0,6.0,0.4932197590891349,39.0,1.0,0.0316930775646372,2.394490372221431e-7
7.0,7.0,0.8417079067408175,40.0,1.0,0.03252710592160134,2.7935129990552584e-7
