Zm,Theta,Error,Real,Prior,Likelihood,Grid,Mu,Id,Regression,adjusted,zeros
4.640854975726922,4.615897853195039,3.350423125375947,6.9282558157800035e-9,6.691511288244268e-5,0.019979242955835922,-3.0,1.2904318503509755,1,4.69675511344267,1.8644119933655223,0.0
8.652992731308343,6.645595185343721,7.362560880957368,7.1880716911419024e-9,6.758774763195891e-5,0.020086671325109533,-2.994997498749375,1.2904318503509755,2,7.991664409692142,0.5992000292647326,0.0
3.2451760244446475,3.077447056130543,1.954744174093672,7.457350961645059e-9,6.82667166512333e-5,0.020194550993967064,-2.989994997498749,1.2904318503509755,3,3.5505742414717707,1.4721420682719255,0.0
7.151029748530594,6.654817659757648,5.860597898179619,7.736427550202999e-9,6.895207503444865e-5,0.02030288303274134,-2.984992496248124,1.2904318503509755,4,6.758199335445251,1.84188757792555,0.0
5.49077708389553,5.711451808831117,4.200345233544555,8.025646758709913e-9,6.9643878308553e-5,0.020411668508997127,-2.979989994997499,1.2904318503509755,5,5.394741181193445,2.2619798812508254,0.0
5.366779401940203,5.217657690280874,4.076347551589228,8.325365641061888e-9,7.03421824362093e-5,0.020520908487489456,-2.9749874937468737,1.2904318503509755,6,5.2929099032370415,1.870017040656986,0.0
1.4205621518562235,2.304204095165893,0.13013030150524796,8.635953387882024e-9,7.104704381875768e-5,0.020630604030121874,-2.969984992496248,1.2904318503509755,7,2.0521368554438517,2.1973364933351944,0.0
4.417766401494177,4.2552420463492595,3.1273345511432016,8.957791723302084e-9,7.175851929919673e-5,0.02074075619590447,-2.964982491245623,1.2904318503509755,8,4.513546893310161,1.686964406652252,0.0
2.4753918786429057,4.482397097417198,1.1849600282919301,9.291275314156652e-9,7.247666616517905e-5,0.02085136604091196,-2.9599799899949977,1.2904318503509755,9,2.9184003001410703,3.5092660508892806,0.0
4.045070273532267,3.6321173469113712,2.7546384231812917,9.636812191961497e-9,7.320154215202354e-5,0.020962434618241432,-2.954977488744372,1.2904318503509755,10,4.207475663579934,1.3699109369445908,0.0
4.852406483628992,3.6770368493102175,3.561974633278017,9.994824188053885e-9,7.393320544574313e-5,0.021073962977970036,-2.949974987493747,1.2904318503509755,11,4.870488687035063,0.7518174158883073,0.0
4.140448878209552,4.501570761691339,2.850017027858577,1.036574738228622e-8,7.467171468608892e-5,0.021185952167112585,-2.9449724862431217,1.2904318503509755,12,4.285803944002835,2.1610360713016576,0.0
5.601503900635766,4.2705530369669225,4.311072050284791,1.0750032565674426e-8,7.541712896961167e-5,0.021298403229579006,-2.939969984992496,1.2904318503509755,13,5.485673955700995,0.7301483348790803,0.0
6.878232285044393,7.8596435299444085,5.587800434693418,1.1148145717411002e-8,7.616950785273694e-5,0.021411317206131535,-2.934967483741871,1.2904318503509755,14,6.534168418963495,3.2707443645940666,0.0
5.564484044337358,6.27923969403726,4.274052193986383,1.1560568496669951e-8,7.692891135485908e-5,0.021524695134342072,-2.9299649824912457,1.2904318503509755,15,5.455271941589252,2.7692370060611613,0.0
1.969293739116082,3.048126151471943,0.6788618887651066,1.1987798749636323e-8,7.769539996144994e-5,0.0216385380485491,-2.9249624812406205,1.2904318503509755,16,2.502774624671251,2.490620780413845,0.0
2.669501254269263,3.49948870645523,1.3790694039182874,1.2430351032208657e-8,7.846903462718473e-5,0.021752846979814645,-2.919959979989995,1.2904318503509755,17,3.0778097783801295,2.3669481816882536,0.0
1.4500189733184456,0.1948748470652628,0.15958712296747013,1.2888757148835555e-8,7.924987677908378e-5,0.02186762295588111,-2.9149574787393697,1.2904318503509755,18,2.0763278381036114,0.06381626257480466,0.0
9.023114910974357,8.535945275823229,7.732683060623382,1.3363566707956297e-8,8.00379883196707e-5,0.0219828670011279,-2.9099549774887445,1.2904318503509755,19,8.295621822129725,2.1855927073066566,0.0
8.726023905679124,8.189858297427676,7.435592055328149,1.3855347694534911e-8,8.083343163014823e-5,0.022098580136528042,-2.904952476238119,1.2904318503509755,20,8.051640190687086,2.083487360353743,0.0
2.6669322905681194,1.1362031548130456,1.376500440217144,1.4364687060181882e-8,8.16362695735885e-5,0.022214763379604482,-2.8999499749874937,1.2904318503509755,21,3.075700054612831,0.005772353813367381,0.0
5.0905593745652284,5.504188268711337,3.800127524214253,1.489219133138142e-8,8.24465654981418e-5,0.02233141774438659,-2.8949474737368686,1.2904318503509755,22,5.066068256351415,2.3833892659730744,0.0
3.164139026714452,5.098764096667912,1.8737071763634765,1.543848723634644e-8,8.326438324026126e-5,0.0224485442413662,-2.889944972486243,1.2904318503509755,23,3.4840237954433606,3.5600095548377046,0.0
10.273246241415773,9.1574650925061,8.982814391064798,1.6004222351044603e-8,8.40897871279432e-5,0.02256614387745371,-2.8849424712356178,1.2904318503509755,24,9.32227384485102,1.7804605012682337,0.0
10.562173828047369,9.418287314123432,9.271741977696394,1.6590065764952463e-8,8.492284198398706e-5,0.022684217655934095,-2.8799399699849926,1.2904318503509755,25,9.55955138842764,1.8040051793089464,0.0
0.38316823375947473,2.483868004939413,-0.9072636165915008,1.719670876710407e-8,8.576361312926775e-5,0.022802766576422658,-2.8749374687343674,1.2904318503509755,26,1.200192312947877,3.228944945604689,0.0
4.4293938160965824,5.766906985914214,3.138961965745607,1.78248655530268e-8,8.661216638602959e-5,0.02292179163482084,-2.8699349674837418,1.2904318503509755,27,4.523095737043533,3.1890805024838333,0.0
3.8579404822704797,2.7787043878767923,2.5675086319195044,1.847527395316057e-8,8.746856808119268e-5,0.023041293823271664,-2.8649324662331166,1.2904318503509755,28,4.053798066648984,0.6701755748409615,0.0
